user_id,event_type,event_id,ts
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Product Viewed,ajs-next-7d9fa92c7ff7501e8d5a609e1c082c4b,2023-12-22 15:12:18.700000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Product Viewed,ajs-next-940e6ba9a1f74e815e605c34308ad2f0,2023-12-22 15:12:17.096000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Product Viewed,ajs-next-156024c4c20f71d2a96fc7e5f14b461e,2023-12-22 14:29:48.535000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Product Viewed,ajs-next-fb2007dc0cf293bd848f527e214dea7d,2023-12-22 14:29:23.498000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Product Viewed,ajs-next-bcb1ce646651bc1bf32d021c5ca84d9c,2023-12-22 13:08:52.969000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Product Viewed,ajs-next-7e7f2f5d91c480d836e1511d64c514d2,2023-12-22 13:17:19.882000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Product Viewed,ajs-next-a2ed6a98773743ef101503019cfbaa97,2023-12-22 12:22:44.264000
Ozh+QznC5hmgYLPBBHotopjH6MrHHmUFif7BZt7zaR0=,Page,ajs-next-c72a3effe9f7c6f3ac8bd2add76d63a6,2023-06-11 19:46:32.046000
Ozh+QznC5hmgYLPBBHotopjH6MrHHmUFif7BZt7zaR0=,Page,ajs-next-26b47ab970e515421a438a9940f9e0b2,2023-06-11 19:47:58.074000
Ozh+QznC5hmgYLPBBHotopjH6MrHHmUFif7BZt7zaR0=,Page,ajs-next-dd222051bb3ab79bc7f3a3ae329c47dd,2023-06-11 10:40:33.012000
Ozh+QznC5hmgYLPBBHotopjH6MrHHmUFif7BZt7zaR0=,Page,ajs-next-bce718bb77050ecf6faf218f7ecf6dd0,2023-06-11 00:14:00.160000
Ozh+QznC5hmgYLPBBHotopjH6MrHHmUFif7BZt7zaR0=,Product Viewed,ajs-next-f47871bf8d89027e5f2c478955a6beef,2023-06-11 00:16:23.367000
Ozh+QznC5hmgYLPBBHotopjH6MrHHmUFif7BZt7zaR0=,Product Viewed,ajs-next-896a901f7b0a4d6590fbed5e2f60c352,2023-06-11 19:48:46.581000
Ozh+QznC5hmgYLPBBHotopjH6MrHHmUFif7BZt7zaR0=,Product Viewed,ajs-next-99c16cb5d09604ac503c6376c412c876,2023-06-11 19:46:57.129000
Ozh+QznC5hmgYLPBBHotopjH6MrHHmUFif7BZt7zaR0=,Product Viewed,ajs-next-e6f1549ffc5a3d91696549a030f499b1,2023-06-11 10:42:24.066000
Ozh+QznC5hmgYLPBBHotopjH6MrHHmUFif7BZt7zaR0=,Pop-up Email Viewed,ajs-next-abfcc19cf3a384692c44cebf9fdbc57c,2023-06-11 10:42:33.209000
fgWcO0AgmN60WdNMPMlkpgIYDhPCmCAaevg2zS3ZnKw=,Page,ajs-next-9a7965cb9a517615be2fd1773990383d,2024-01-11 20:40:28.154000
fgWcO0AgmN60WdNMPMlkpgIYDhPCmCAaevg2zS3ZnKw=,Page,ajs-next-89e4d9fdbdf0eb1fcfcd2cd2405c3d50,2024-01-11 20:39:42.696000
fgWcO0AgmN60WdNMPMlkpgIYDhPCmCAaevg2zS3ZnKw=,Page,ajs-next-acc7314179e1355a80e56caed3559467,2024-01-11 20:43:49.905000
fgWcO0AgmN60WdNMPMlkpgIYDhPCmCAaevg2zS3ZnKw=,Page,ajs-next-dd87e1a2b44f12ad074982d13076bd42,2024-01-11 20:22:44.441000
fgWcO0AgmN60WdNMPMlkpgIYDhPCmCAaevg2zS3ZnKw=,Page,ajs-next-2c97c6bb60b984e1183915d534eecc96,2024-01-11 20:22:02.717000
fgWcO0AgmN60WdNMPMlkpgIYDhPCmCAaevg2zS3ZnKw=,Page,ajs-next-45b76ae35e5012aeabea11a8677f6664,2024-01-11 20:17:22.519000
fgWcO0AgmN60WdNMPMlkpgIYDhPCmCAaevg2zS3ZnKw=,Page,ajs-next-ee9b27d2df39150c10c3ecd11ef2bfbd,2024-01-11 20:19:57.002000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-1218b724892575c072f5d9f81b88e326,2024-01-11 17:23:43.869000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-67b0716491986f93fd630ed911308c54,2024-01-11 01:26:38.149000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-10980335a0c85a28c88c79f7d16834cb,2024-01-11 01:19:25.299000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-68e372e5d8d4d8f8c281cfab398e684d,2024-01-11 01:29:07.021000
U4IORGKmQjVhx+qS2D5Hj9shv7wna4RYYbtGF5LTvPU=,Page,ajs-next-586cb4ea74f9a1ce76bc5d7393742898,2024-01-11 18:34:18.268000
U4IORGKmQjVhx+qS2D5Hj9shv7wna4RYYbtGF5LTvPU=,Page,ajs-next-aa3e7a376097c093b7669e555cd0fd34,2024-01-11 08:04:32.802000
U4IORGKmQjVhx+qS2D5Hj9shv7wna4RYYbtGF5LTvPU=,Page,ajs-next-058f9194d02373b8d1d996404689026d,2024-01-11 08:03:49.096000
U4IORGKmQjVhx+qS2D5Hj9shv7wna4RYYbtGF5LTvPU=,Page,ajs-next-16c17264d3a5644b173d985c6fdac488,2024-01-11 08:01:00.595000
fgWcO0AgmN60WdNMPMlkpgIYDhPCmCAaevg2zS3ZnKw=,Product Viewed,ajs-next-8aad08087cdc1c06303d6ff4111029e3,2024-01-11 20:19:02.513000
fgWcO0AgmN60WdNMPMlkpgIYDhPCmCAaevg2zS3ZnKw=,Product Viewed,ajs-next-12a4783af909d5488f944b1156e37dc3,2024-01-11 20:43:49.974000
fgWcO0AgmN60WdNMPMlkpgIYDhPCmCAaevg2zS3ZnKw=,Product Viewed,ajs-next-0df9a953e2f993a7c93223b2b1c2dc53,2024-01-11 20:40:28.196000
fgWcO0AgmN60WdNMPMlkpgIYDhPCmCAaevg2zS3ZnKw=,Product Viewed,ajs-next-f95a16966e06646e02462e87fd3c7adf,2024-01-11 20:39:42.779000
